beer,temperature,weather
55.14617829,12.96525989,fine
155.3466344,16.16371699,fine
89.55074416,22.1856009,fine
393.0054824,32.2462337,fine
139.2535248,11.05045793,fine
149.6633049,31.95169055,fine
288.7844536,33.34025806,fine
262.7760732,24.82393377,fine
240.8186631,23.87342132,fine
50.58268997,6.853588114,fine
258.2535403,11.17923725,fine
140.7645391,10.29670258,fine
131.5400543,25.6106854,fine
-82.33131944,16.52311155,fine
321.0645474,28.0952426,fine
155.0925027,19.93097726,fine
197.5523052,26.52855525,fine
342.9267181,34.75718284,fine
220.5284518,16.40105538,fine
269.330272,28.32335664,fine
330.1446788,33.04115693,fine
186.3992839,11.36427564,fine
194.7577762,24.55021298,fine
-106.3352523,8.766652879,fine
180.0822952,13.01662006,fine
141.4700122,16.58342278,rain
187.4118994,5.401709995,rain
0.56656805,16.47163871,rain
26.73136763,31.09072537,rain
195.7418065,15.2104699,rain
268.5559378,19.46240346,rain
104.7863535,22.98697476,rain
169.7359651,19.80623921,rain
171.6868557,10.58652804,rain
-56.81195347,29.82119956,rain
63.23053294,25.05400215,rain
46.43502552,28.82719582,rain
182.8771164,8.238308777,rain
206.4458953,26.71132838,rain
219.6264104,17.33823289,rain
65.40569626,29.62838882,rain
82.60480291,24.41180581,rain
157.2564232,28.48798287,rain
177.7108731,21.59108935,rain
56.66649352,20.89158741,rain
15.84704955,28.68068695,rain
237.9585159,5.69993607,rain
210.2687827,19.31690195,rain
83.91831798,26.96941216,rain
189.2010392,25.78194669,rain
173.1676447,19.32858866,rain
14.61593915,30.8362843,rain
173.3974031,18.14291322,rain
55.34409884,12.34391831,rain
337.7005131,7.120371414,rain
388.1200658,7.983984805,rain
120.8370963,14.48815122,rain
22.79139789,20.5590279,rain
162.6712013,24.86015229,rain
130.4700115,17.20490562,rain
308.2303874,32.38627773,rain
157.0354938,13.80810118,rain
205.1140773,18.77197179,rain
157.9410147,14.97184023,rain
33.04210905,24.52611401,rain
185.1767128,12.74050342,rain
-47.27765013,19.35635745,rain
236.6088856,27.98932012,rain
207.6882967,7.527407431,rain
290.9629675,31.2596399,rain
201.6900122,15.17218814,rain
8.08930438,30.18321051,rain
214.070112,15.40050467,rain
61.52399722,15.01324792,rain
8.183973215,19.29053735,rain
100.3148732,31.76595008,rain
31.01989208,30.93018412,rain
146.6121036,16.6996863,rain
95.83602759,28.31962097,rain
1.955205799,33.81853992,rain
82.934204,18.03978454,rain
84.60493668,26.37544036,rain
262.8095443,16.99983107,rain
3.840497175,14.76056456,rain
150.8315466,27.71261444,rain
207.8911988,11.08076765,rain
204.6418004,26.33363667,rain
156.3278195,8.650757631,rain
205.1786039,12.36465542,rain
210.2142222,9.299131383,rain
114.8035846,12.18888245,rain
316.946624,6.768031318,rain
224.6970228,24.26864776,rain
143.580983,31.28807638,rain
246.8461438,28.36744032,rain
141.2523187,28.91926478,rain
9.049611111,18.65823361,rain
86.16084627,17.30252246,rain
-39.09179791,29.32610728,rain
66.91994281,23.14799871,rain
