length,food,medicine
119.5871376,68.30799171,na
118.1754549,43.63221125,na
153.7068482,69.96131767,na
93.27664823,40.64559781,na
118.1388209,64.08534375,na
98.37969996,40.48407667,na
171.8416523,97.8537968,na
102.8558897,46.92030048,na
168.268704,94.19446965,na
153.1587526,85.92554238,na
65.91697197,12.02018176,na
108.247599,33.19495021,na
136.2943876,71.85852256,na
51.80849067,16.60781117,na
64.13377383,12.04985192,na
86.88591303,52.61686481,na
146.9933498,84.1985586,na
83.96521781,37.75552843,na
130.9373505,73.99730916,na
135.9844769,70.46616651,na
159.4185065,94.63007514,na
126.3568071,77.64348574,na
94.41339633,35.6978826,na
82.5370563,18.944706,na
125.9554765,54.26657335,na
50.30981753,12.74122916,na
89.69824824,46.2476446,na
137.8852828,85.80450591,na
98.07276812,41.3065179,na
171.8793463,88.53977053,na
173.2735974,91.68301752,na
149.4316393,84.73268572,na
60.91948762,13.90522965,na
79.54154017,15.68106311,na
97.26426487,45.43392399,na
102.2915096,55.464325,na
97.63462053,25.02264102,na
111.6215256,56.01870567,na
148.219883,67.91470582,na
163.4392412,97.16996164,na
124.6129936,70.15401666,na
141.8580325,67.26833703,na
102.2039586,37.63381293,na
119.2518568,58.39403979,na
107.2220471,54.81359358,na
116.8745263,52.73882295,na
159.9286112,93.25337705,na
175.7053716,92.99616033,na
152.0423383,75.11871036,na
100.4253274,41.05025544,na
189.8169325,65.49346834,medicine
129.479516,19.0022184,medicine
187.7421144,61.38168609,medicine
174.1118462,62.78732327,medicine
160.6430701,49.81859395,medicine
127.4686592,24.9175524,medicine
131.249368,41.85191851,medicine
216.5842648,96.10714284,medicine
199.6860913,87.29922554,medicine
179.2744928,59.62478659,medicine
211.4603376,96.81862962,medicine
178.3246646,61.4721195,medicine
187.2793516,59.40052854,medicine
182.7355718,66.75520404,medicine
207.9798853,85.75011851,medicine
203.6068851,83.40804333,medicine
137.8266063,29.26830765,medicine
140.0219469,42.38835541,medicine
140.9188526,43.4430639,medicine
180.7770689,65.71156209,medicine
108.6766567,16.22301254,medicine
106.2357078,17.4794829,medicine
131.8195503,23.70789479,medicine
233.8473875,96.29740359,medicine
131.5620101,20.41675767,medicine
189.4367583,65.45606881,medicine
162.5754815,50.68839383,medicine
128.3902697,22.69195207,medicine
172.7023634,64.81131074,medicine
119.8052621,17.03489896,medicine
125.2120923,26.72213596,medicine
142.3059386,26.22600101,medicine
126.768822,38.52536818,medicine
138.9507508,18.18356727,medicine
220.8254776,99.78567733,medicine
110.1095132,14.79755742,medicine
193.3168366,78.97829939,medicine
110.9095197,17.45835763,medicine
151.4206274,41.33133307,medicine
93.31691304,10.41036446,medicine
170.7210374,56.38183383,medicine
211.3089243,90.50689583,medicine
141.8644778,34.90005213,medicine
146.7928592,53.4151909,medicine
186.1412246,57.74622002,medicine
202.9446248,76.92123585,medicine
204.773146,72.30222814,medicine
179.1291456,73.79698588,medicine
143.4333299,53.54487596,medicine
170.5857562,52.21890607,medicine
